RP,Nom du parlementaire,Bénéficiaire,Pays,Somme,Programme,Programme détaillé,Année
AN,TOURAINE,Association Maison de la Francophonie,,2500,185-02,Coopération culturelle et promotion du français,2012
AN,TRASSY-PAILLOGUES,ANDAO,,1000,209-02,Développement - Coopération bilatérale,2012
AN,TRASSY-PAILLOGUES,Numama Togo,,1000,209-02,Développement - Coopération bilatérale,2012
AN,VANNESTE,Via Zogoré,,5000,209-02,Développement - Coopération bilatérale,2012
AN,VANNSON,Kiwanis Club de Gérardmer,,4500,209-02,Développement - Coopération bilatérale,2012
S,VENDEGOU,Association des femmes de KUNIE,,10000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2012
S,VENDEGOU,Association des personnes âgées et handicapées de KOUNIE,,70000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2012
AN,VERCHERE,Rotary Club de tarare,,1000,209-02,Développement - Coopération bilatérale,2012
AN,WARSMANN,Burkin' Ardenn' Avenir,,1000,209-02,Développement - Coopération bilatérale,2012
AN,WARSMANN,Les Enfants d'Allada,,1000,209-02,Développement - Coopération bilatérale,2012
AN,WAUQUIEZ,Association Léo Technico,,1000,209-02,Développement - Coopération bilatérale,2012
AN,WAUQUIEZ,EKITINFO,,1000,209-02,Développement - Coopération bilatérale,2012
AN,WAUQUIEZ,LACIM,,1000,209-02,Développement - Coopération bilatérale,2012
AN,WAUQUIEZ,Les Amis du Grand Toukou et du Cameroun,,1000,209-02,Développement - Coopération bilatérale,2012
AN,WOJCIECHOWSKI,Association Santé Zanskar Himalaya,,2000,209-02,Développement - Coopération bilatérale,2012
AN,WOJCIECHOWSKI,Association Soutien au foyer de l'Espérance de l'Ile aux Nattes,,2000,209-02,Développement - Coopération bilatérale,2012
S,YUNG,CIMADE,Paris,10000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2012
S,YUNG,Alliance française de Tamatave,Madagascar,4000,185-02,Coopération culturelle et promotion du français,2012
S,YUNG,Alliance française de Sambava,Madagascar,12000,185-02,Coopération culturelle et promotion du français,2012
S,YUNG,Association Enfants Français de Madagascar,Madagascar,15000,185-02,Coopération culturelle et promotion du français,2012
